,hashtags,likes,replies,retweets,screen_name,text,timestamp,username
246,"['homecomingnetflix', 'HomeComing']",2,0,0,deloliveirah,E vamos assistir novamente essa obra de arte HOMECOMING @Beyonce #homecomingnetflix #HomeComing ,4/20/2019 0:02,Dann
247,['homecomingnetflix'],0,0,0,Maryniki_x,@Beyonce is so mesmerizing  #homecomingnetflix,4/19/2019 23:34,Maryniki 🇰🇪
248,['homecomingnetflix'],1,0,0,strappyboi,Loving the Audrey Lorde quote in #homecomingnetflix,4/19/2019 23:33,strappyboi🍓🏳️‍🌈
249,['homecomingnetflix'],0,0,0,jubrhino,Beyonce is too good abeg #homecomingnetflix,4/19/2019 23:29,Jubrilazeez
250,"['Beychella', 'homecomingbeyonce', 'homecomingnetflix', 'Netflix', 'BeyonceHomecoming', 'BeyonceHomecomingNetflix']",1,0,0,laselbach,Just went to #Beychella and it felt great! Feeling nothing but respect for @Beyonce and her incredible work with #homecomingbeyonce ! #homecomingnetflix #Netflix #BeyonceHomecoming #BeyonceHomecomingNetflix,4/19/2019 23:16,Larissa SelbachDries
251,['homecomingnetflix'],0,0,0,dezbo_,Beyoncé calling Blue by her name in Spanish on #homecomingnetflix made my life.  idk idk ,4/19/2019 23:01,Des
252,"['Beychella', 'homecomingnetflix']",1,0,0,anisabrenee,"But who had the most memorable show two years in a row?  #Beychella #homecomingnetflix 

Ariana Grande and Beyoncé likely earned the same Coachella paycheck, despite what you may have heard  https://twitter.com/i/events/1119342071960104960 …",4/19/2019 22:19,#WhoIsAnisaBreneé
253,"['homecomingbeyonce', 'homecomingnetflix']",1,0,0,_xxOceanDrive,I NEED Beyonce tickets right TF NOW @Beyonce #homecomingbeyonce #homecomingnetflix,4/19/2019 22:09,Morgsss
254,"['flawless', 'QueenBey', 'BeyonceHomecoming', 'Beychella', 'homecomingnetflix']",0,0,0,Mands04__,Homecoming is !!! @Beyonce #flawless #QueenBey #BeyonceHomecoming #Beychella #homecomingnetflix,4/19/2019 21:58,Mandy Groulx
255,['homecomingnetflix'],1,0,1,xrayychill,#homecomingnetflix  IS AMAZINGGGGG. QUEEN B KILLLLIN ITTTTT,4/19/2019 21:26,Rachel Height-Kaplan
256,['homecomingnetflix'],0,0,0,matokopops,"Forced this guy to watch #homecomingnetflix instead of anime, he too needs to experience this greatness",4/19/2019 21:06,Jalisaa’s Back!
257,['homecomingnetflix'],1,0,1,julyanna86,Cochilando sob a proteção da Santa Bee  #homecomingnetflix pic.twitter.com/8PnUyT7aT0,4/19/2019 20:36,Jolene
258,"['homecomingnetflix', 'homecomingbeyonce']",1,1,0,tiffreneebalmer,Did we ever get the stats on HBCU application increases after this performance. Give her her credit. HBCUS please pull this info and report back thanks #homecomingnetflix #homecomingbeyonce,4/19/2019 20:33,trb retweets
259,['homecomingnetflix'],0,0,0,hotrollnmom,It’s Bey time!!!!! #homecomingnetflix,4/19/2019 20:21,👑CharlotteLexus Extravaganza
260,"['homecoming', 'Beyonce', 'BeyoncesHomecoming', 'homecomingnetflix', 'HOMECOMINGTHELIVEALBUM']",5,0,3,_justcallmenae,"My sister is DOPE!!! Educated Queens , black girl magic .                               #homecoming #Beyonce #BeyoncesHomecoming #homecomingnetflix #HOMECOMINGTHELIVEALBUM @Beyoncepic.twitter.com/KbICi24mLh",4/19/2019 19:13,🍫✨
261,"['congratulations', 'Singer', 'femaleartist', 'performer', 'femaledirector']",0,0,0,CharzetteArt,"beyonce well done #congratulations on homecomingnetflix . Is about so much more. She states her workmanship and craft as a  #Singer,#femaleartist Songwriter #performer #femaledirector… https://www.instagram.com/p/Bwcjt9DFnDu/?utm_source=ig_twitter_share&igshid=1bpfr93vkvyni …",4/19/2019 17:54,Charzette Fine Art Photography
